filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2009,2014,VEN,ARB(AF)/09/1,Gold Reserve Inc. v. Bolivarian Republic of Venezuela,1,0,NA,NA,CAN,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Canada-Venezuela BIT,Mining,MIN,US$1.74b plus interest and costs,1735,yes,"US$713m, plus interest and legal costs (US$5m)",713,no,n.a.,n.a.,n.a.
2010,2014,VEN,ARB/10/19,Flughafen Zurich A.G. and Gestion e Ingeneria IDC S.A. v. Bolivarian Republic of Venezuela,1,0,NA,NA,CHE,investor,0,,0,CHL,n.a.,n.a.,n.a.,ICSID,"Switzerland-Venezuela BIT, Chile-Venezuela BIT",Airport,SER,unknown,unknown,yes,"US$19.4m (half of which goes to each Claimant), plus interest on $19.4m (half of which goes to each Claimant); Respondent to pay US$525,000 for Claimant legal fees and US$1,874,000 for cost of arbitration",19.4,yes,2015,pending,pending
2010,2015,BLZ,(PCA Case No. 2010-21),Dunkeld International Investment Limited v. The Government of Belize (II),0,1,0,0,GBR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,PCA,Belize-United Kingdom BIT,Telecommunications,TEL,US$175,175,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2015,2015,BOL,n.a.,Paz Holdings Ltd. v. Plurinational State of Bolivia,NA,3,1,2,GBR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Plurinational state of Bolivia v. United Kingdom,Electric power concession,UTL,unknown,unknown,yes,settlement-US$19.51m,settlement-19.51,n.a.,n.a.,n.a.,n.a.
2010,2015,BOL,ARB/10/8,Pan American Energy LLC v. Plurinational State of Bolivia,1,3,1,2,ARG,settlement (US$357m),1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Bolivia-United States BIT,Oil and gas,OIL,US$1500m,1500,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,2015,DZA,ARB/12/32,Gelsenwasser AG v. People's Democratic Republic of Algeria,NA,3,1,2,DEU,Discontinued,NA,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Algeria-Germany BIT,Waste management,SER,US$23m,23,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2015,EGY,ARB/11/32,Indorama International Finance Limited v. Arab Republic of Egypt,1,0,NA,NA,GBR,investor,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Kingdom BIT,Textile enterprise,MFG,US$156,156,yes,US$54,54,none,n.a.,n.a.,n.a.
2012,2015,ESP,ARB/12/17,"Inversion y Gestion de Bienes, IGB, S.L. and IGB18 Las Rozas, S.L. v. Kingdom of Spain",0,1,0,0,VEN,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Spain-Venezuela BIT,Real estate,RE,EUR25m,31,yes,0,0,no,n.a.,n.a.,n.a.
2012,2015,LTU,(PCA Case No. 2011-16),OAO Gazprom v. The Republic of Lithuania,NA,0,NA,NA,RUS,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,PCA,Lithuania-Russia Federation BIT,Oil and gas ,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2015,2015,TUR,ARB/15/26,Nabucco Gas Pipeline International GmbH in Liqu. v. Republic of Turkey,NA,0,NA,NA,AUT,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Austria-Turkey BIT,Oil and gas (pipeline),OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2015,VEN,ARB/11/30,Hortensia Margarita Shortt v. Bolivarian Republic of Venezuela,1,0,NA,NA,GBR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Venezuela-UK BIT,Maritime services (oil and gas),SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,2015,ZWE,ARB/10/25,"Border Timbers Limited, Border Timbers International (Private) Limited, and Hangani Development Co. (Private) Limited v. Republic of Zimbabwe",1,n.a.,NA,NA,CHE,pending,NA,n.a.,1,n.a.,n.a.,n.a.,n.a.,ICSID,Switzerland-Zimbabwe BIT,Agricultural enterprise (forestry),AGR,unknown,unknown,no,n.a.,n.a.,yes,2015,pending,pending
2011,2015,POL,ARB(AF)/11/3,"Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC v. Republic of Poland",0,2,NA,1,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ISCID AF,Poland-United States BIT,Manufacturing (vegetable oil),MFG,PLN500m,146.2m,yes,0,0,no,n.a.,n.a.,n.a.
2011,2015,UZB,n.a.,Oxus Gold plc v. Republic of Uzbekistan,0,0,NA,NA,GBR,investor,0,n.a.,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,United Kingdom-Uzbekistan BIT,Mining,MIN,US$400m,400,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,2015,ALB,ARB/11/24,Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A. v. Republic of Albania,0,3,1,2,GRC,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Greece-Albania BIT,Oil and gas,OIL,US$23m,23,yes,0,0,yes,2015,pending,pending
2011,2015,CAN,2012-25,Detroit International Bridge Company v. Canada,0,1,0,0,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,NAFTA,"Bridge (build, operate, maintain, collect tolls)",UTL,US$3.5b,3500,yes,0,0,no,n.a.,n.a.,n.a.
2012,2015,GNQ,ARB(AF)/12/2,Grupo Francisco Hernando Contreras v. Republic of Equatorial Guinea,0,0,NA,NA,ESP,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Equatorial Guinea-Spain BIT,Real estate (residential and commercial),RE,EUR450m,600,yes,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,2015,HUN,ARB/12/3,Accession Mezzanine Capital L.P. and DanubiusKereskedohaz Vagyonkezelo Zrt. v. Hungary,0,n.a.,NA,NA,GBR,state,0,,0,BMU,n.a.,n.a.,n.a.,ICSID,Hungary-UK BIT,Broadcasting enterprise (radio),TEL,unknown,unknown,no,0,0,no,n.a.,n.a.,n.a.
2012,2015,MKD,ARB/12/31,"Guardian Fiduciary Trust, Ltd, f/k/a Capital Conservator Savings & Loan, Ltd v. Macedonia, former Yugoslav Republic of",0,0,NA,NA,NLD,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Macedonia BIT,Banking,FIN,US$20m,20,yes,0,0,no,n.a.,n.a.,n.a.
2011,2015,MNG,9/1/2011,"Khan Resources Inc., Khan Resources B.V. and Cauc Holding Company Ltd. v. the Government of Mongolia and Monatom Co., Ltd.",0,0,NA,NA,CAN,investor,0,,0,NLD,VGB,n.a.,n.a.,PCA,Energy Charter Treaty,Mining (uranium),MIN,US$358m,358,yes,US$80,80,yes,2015,pending,pending
2011,2015,OMN,ARB/11/33,Adel A Hamadi Al Tamimi v. Sultanate of Oman,0,0,NA,NA,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Oman-United States FTA,Mining (quarrying),MIN,US$560m,560,yes,0,0,no,n.a.,n.a.,n.a.
2011,2015,PER,ARB/11/17,Renee Rose Levy and Gremcitel S.A. v. Republic of Peru,0,n.a.,NA,NA,FRA,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,France-Peru BIT,Real estate,RE,US$41000m,41000,no,0,0,no,n.a.,n.a.,n.a.
2010,2015,VEN,ARB/10/5,"Tidewater Investment SRL and Tidewater Caribe, C.A. v. Bolivarian Republic of Venezuela",1,0,NA,NA,BRB,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Barbados-Venezuela BIT, Venezuela Investment Law (1999)",Maritime services (oil and gas),SER,US$234,234,yes,US$46.4m,46.4,yes,2015,pending,pending
2011,2015,VEN,ARB/11/31,"Gambrinus, Corp. v. Bolivarian Republic of Venezuela",1,n.a.,NA,NA,BRB,pending,NA,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,Venezuela-Barbados BIT,Manufacturing (fertilizer),MFG,unknown,unknown,no,n.a.,n.a.,yes,unknown,n.a.,n.a.
2012,2016,ESP,(SCC Case No. 062/2012),Charanne B.V. and Construction Investments S.a.r.l. v. Spain,0,1,0,0,NLD,state,0,,0,LUX,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Electric power concession (solar),UTL,EUR17m,22,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,2016,ESP,(SCC Case No. 2013/153),Isolux Infrastructure Netherlands B.V. v. Spain,0,1,0,0,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Electric power concession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,2016,GAB,n.a.,Kontinental Conseil Ingenierie v. Gabonese Republic,0,NA,NA,NA,TUN,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Organization of Islamic Conference Investment,Construction (private),RE,EUR150m ,158.7,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,2016,TUR,(SCC Case No. 2014/023),Cem Uzan v. Republic of Turkey,0,0,NA,NA,TUR,state,0,n.a.,0,n.a.,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Electric power concession,UTL,US$2.5b,2500,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,2016,CAN,(PCA Case No. 2013-22),Windstream Energy LLC v. Canada,0,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Electric power concession (wind),UTL,CAD475m,478.2,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,2017,CZE,(SCC Case No. 2015/014),J.P. Busta and I.P. Busta v. The Czech Republic,0,3,1,2,GBR,state,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Czech Republic,Manufacturing (vehicles),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,2017,CZE,(SCC Case No. 2014/181),Anglia Auto Accessories Ltd v. The Czech Republic,0,3,1,2,GBR,state,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Czech Republic-United Kingdom BIT,Manufacturing (vehicles),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,2017,UKR,(PCA Case No. 2015-11),"JKX Oil & Gas plc, Poltava Gas B.V. and Poltava Petroleum Company v. Ukraine",0,0,NA,NA,GBR,investor,0,n.a.,0,NLD,n.a.,n.a.,n.a.,UNCITRAL,"Netherlands-Ukraine BIT, Ukraine-United Kingdom BIT, Energy Charter Treaty",Oil and gas (production),OIL,US$270m,270,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,2018,MUS,(PCA Case No. 2016-20),Dawood Rawat v. Republic of Mauritius,0,n.a.,NA,NA,FRA,state,0,n.a.,NA,FIN,n.a.,n.a.,n.a.,UNCITRAL,"Finland-Mauritius BIT, France-Mauritius BIT",Banking (finance and insurance) ,FIN,US$1000m,1000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,2020,RUS,unknown,Sergei Viktorovich Pugachev v. The Russian Federation,0,2,NA,1,FRA,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Russian-France BIT,,,US$12000m,12000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ALB,ARB/14/26,"Albaniabeg Ambient Sh.p.k, M. Angelo Novelli and Costruzioni S.r.l. v. Republic of Albania",NA,n.a.,NA,NA,ITA,pending,NA,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Waste management,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,ALB,ARB/15/28,Hydro S.r.l. and others v. Republic of Albania,NA,n.a.,NA,NA,ITA,pending,NA,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,Albania-Italy BIT,Electric power consession (hydropower and other renewables),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2004,pending,ARG,ARB/04/16,Mobil Exploration and Development Inc. Suc. Argentina & Mobil Argentina SA v. Argentine Republic,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Oil and gas (gas production),OIL,In excess of $200m,200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,ARG,ARB/07/5,Abaclat and Others v. Argentine Republic (formerly Giovanna A. Beccara and others v. Argentine Republic ),NA,n.a.,NA,NA,ITA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Finance (debt instruments),FIN,Approximately US$3.6b,3600,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,ARG,ARB/07/8,"Giovanni Alemanni, et al v. Argentine Republic",NA,n.a.,NA,NA,ITA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Finance (debt instruments),FIN,US$1.2b,1200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,pending,ARG,ARB/08/9,"Ambiente Ufficio S.p.A. and others v. Argentine Republic (formerly Giordano Alpi, et al v. Argentine Republic)",NA,n.a.,NA,NA,ITA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Finance (debt instruments),FIN,US$10m,10,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ARG,ARB/14/32,Casinos Austria International GmbH and Casinos Austria Aktiengesellschaft v. Argentine Republic,NA,n.a.,NA,NA,AUT,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Austria BIT,Gaming,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,ARG,ARB/15/48,"Abertis Infraestructuras, S.A. v. Argentine Republic",NA,n.a.,NA,NA,ESP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Spain BIT,Transportation (toll roads),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,ARG,unknown,ICS Inspection and Control Services Limited v. The Argentine Republic (II),NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-United Kingdom,Services (government financial consulting),SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,ARG,ARB/15/39,Salini Impregilo S.p.A. v. Argentine Republic,NA,n.a.,NA,NA,ITA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Construction (Highways),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,BDI,ARB/13/7,Joseph Houben v. Burundi,NA,n.a.,NA,NA,BELLUX,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Burundi BIT,Real estate,RE,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,BDI,ARB/14/31,Tariq Bashir and SA Interpetrol Burundi v. Republic of Burundi,NA,n.a.,NA,NA,BELLUX,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Burundi BIT,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,BGR,ARB/12/16,"Novera AD, Novera Properties B.V. and Novera Properties N.V. v. Republic of Bulgaria",NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Bulgaria-Netherlands BIT,Waste management,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,BGR,ARB/13/17,EVN AG v. Republic of Bulgaria,NA,n.a.,NA,NA,AUT,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Austria-Bulgaria BIT,?_Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,BGR,ARB/15/19,ENERGO-PRO a.s. v. Republic of Bulgaria,NA,n.a.,NA,NA,CZE,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty and Bulgaria-Czech Republic BIT,Electric power consession (hydro),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,BGR,ARB/15/43,State General Reserve Fund of the Sultanate of Oman v. Republic of Bulgaria,NA,n.a.,NA,NA,OMN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Bulgaria-Oman BIT,Banking,FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,BIH,ARB/14/13,Elektrogospodarstvo Slovenije - razvoj ininzeniring d.o.o. v. Bosnia and Herzegovina,NA,n.a.,NA,NA,SVN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Bosnia and Herzegovina-Slovenia BIT, Energy Charter Treaty",Electric power concession (thermal),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,pending,BLZ,n.a.,British Caribbean Bank (BCB) v. Belize,NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,UK-Belize BIT,Telecommunications,TEL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,BOL,n.a.,Abertis Infraestructuras S.A. v. Government of Bolivia,NA,n.a.,NA,NA,ESP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Plurinational State of Bolivia-Spain BIT,Transportation (air),UTL,US$90,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,BOL,n.a.,South American Silver Corp v. Bolivia,NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,UK-Bolivia BIT,Mining,MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,CAN,n.a.,William Jay Greiner and Malbaie River Outfitters Inc. v. Government of Canada,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Tourism (fishing),SER,CAD8m,7.8,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CAN,n.a.,Lone Pine Resources Inc. v. Canada,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Oil and gas (fracking),OIL,CAD250m,251.7,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,CAN,ARB/15/6,Mobil Investments Canada Inc. v. Canada,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,NAFTA,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,CHN,ARB/14/25,"Ansung Housing Co., Ltd. V. People's Republic of China",NA,n.a.,NA,NA,KOR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,China-Korea BIT,Real estate,RE,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,CPV,2014-33,Sterling Merchant Finance Ltd v. Government of the Republic of Cabo Verde,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Contract with host state,Consulting services,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,CPV,ARB/15/12,"PT Ventures, SGPS, S.A. v. Republic of Cabo Verde",NA,n.a.,NA,NA,PRT,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Cape Verde-Portugal BIT,Telecommunications,TEL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CRI,UNCT/13/2,Spence International Investments and others v. Costa Rica,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID UNCITRAL,CAFTA-DR,Real estate (residential),RE,US$49m,49,no,n.a.,n.a.,no,n.a.,n.a.,n.a.
2014,pending,CRI,n.a.,David R. Aven and Others v. Republic of Costa Rica,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,CAFTA-DR,Tourism (resort),SER,US$70m,70,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,CRI,ARB/14/5,Infinito Gold Ltd. V. Republic of Costa Rica,NA,n.a.,NA,NA,CAN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Costa Rica-Canada BIT,Mining (gold),MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CYP,ARB/13/27,"Marfin Investment Group Holdings S.A., Alexandros Bakatselos and others v. Cyprus",NA,n.a.,NA,NA,GRC,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Cyprus-Greece BIT,Banking,FIN,?_824m,1087,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,CYP,ARB/15/49,Theodoros Adamakopoulos and others v. Republic of Cyprus,NA,n.a.,NA,NA,GRC,pending,NA,n.a.,NA,LUX,n.a.,n.a.,n.a.,ICSID,"Cyprus-Greece BIT, Belgium-Luxemburg Economic Union-Cyprus BIT",Banking,FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CZE,n.a.,WA Investments-Europa Nova Limited?_v. Czech Republic,NA,n.a.,NA,NA,CYP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,"Cyrpus-Czech Republic BIT, Energy Charter Treaty",Electric power concession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CZE,n.a.,Voltaic Network GmbH v. Czech Republic,NA,n.a.,NA,NA,DEU,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,"Czech Republic-Germany BIT,?_Energy Charter Treaty",Electric power concession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CZE,n.a.,"Jurgen Wirtgen, Stefan Wirtgen, and JSW Solar (zwei) GmbH & Co.KG v. Czech Republic",NA,n.a.,NA,NA,DEU,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,"Germany-Czech Republic BIT, Energy Charter Treaty",Electric power concession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CZE,n.a.,Photovoltaik Knopf Betriebs-GmbH v. Czech Republic,NA,n.a.,NA,NA,DEU,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,"Germany-Czech Republic BIT, Energy Charter Treaty",Electric power concession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CZE,n.a.,"Natland Investment Group N.V., Natland Group Limited, G.I.H.G. Limited, and Radiance Energy Holding S.A.R.L. v. Czech Republic",NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,CYP,BELLUX,n.a.,n.a.,UNCITRAL,"Netherlands-Czech Republic BIT, Cyprus-Czech Republic BIT, Belgium & Luxembourg-Czech Republic BIT, Energy Charter Treaty",Electric power concession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CZE,n.a.,Antaris Solar GmbH and others v. Czech Republic,NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,DEU,CYP,GBR,BELLUX,UNCITRAL,"Netherlands-Czech Republic BIT, Cyprus-Czech Republic BIT, Germany-Czech Republic BIT, Belgium & Luxembourg-Czech Republic BIT, United Kingdom-Czech Republic BIT, Energy Charter Treaty",Electric power concession (solar),UTL,Between ?_50m and ?_70m,66.1,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CZE,n.a.,I.C.W. Europe Investments Limited v. Czech Republic,NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,"United Kingdom-Czech Republic BIT, Energy Charter Treaty",Electric power concession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,CZE,n.a.,WCV Capital Ventures Cyprus Limited and Channel Crossings Limited v. The Czech Republic,NA,n.a.,NA,NA,CYP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Cyprus BIT,Services (gambling),SER,CZK1000m,41.2,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,DEU,ARB/12/12,Vattenfall AB and others v. Federal Republic of Germany,NA,n.a.,NA,NA,SWE,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power concession (nuclear),UTL,US$1b,1000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,DOM,UN7927,Societe Generale v. Dominican Republic,NA,n.a.,NA,NA,FRA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,LCIA,Dominican Republic-France BIT,Electric power concession,UTL,US$680m,680,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,ECU,n.a.,RSM Production Corporation v. Republic of Ecuador,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,n.a.,United States of America-Ecuador BIT,Mining (tar sands),MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,ECU,n.a.,Zamora Gold v. Ecuador,NA,n.a.,NA,NA,CAN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Canada-Ecuador BIT,Mining,MIN,US$120,120,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,ECU,AA 442,Merck v. Ecuador,NA,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,United States-Ecuador BIT,Pharmaceuticals enterprise,MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
